,user_id,action_1,action_2,action_3,action_4,action_5,prev,current_tariff,prepayment,total,will_stay
0,user_10001,0.0,118.0,16.0,3.0,0.0,2,tariff_7,True,137.0,1
1,user_10006,0.0,21.0,6.0,0.0,0.0,2,tariff_1,False,27.0,1
2,user_10009,0.0,1.0,1.0,0.0,0.0,1,tariff_25,False,2.0,0
3,user_10010,0.0,21.0,10.0,7.0,2.0,3,tariff_25,False,40.0,1
4,user_10011,0.0,18.0,2.0,1.0,0.0,4,tariff_7,True,21.0,1
5,user_10023,0.0,4.0,1.0,0.0,0.0,1,tariff_25,False,5.0,0
6,user_10024,0.0,108.0,7.0,1.0,0.0,4,tariff_7,True,116.0,1
7,user_10031,0.0,2.0,0.0,0.0,0.0,1,tariff_10,False,2.0,0
8,user_10040,0.0,2.0,1.0,0.0,0.0,1,tariff_25,False,3.0,0
9,user_1005,0.0,22.0,9.0,3.0,0.0,4,tariff_25,True,34.0,1
10,user_10050,0.0,15.0,0.0,0.0,0.0,4,tariff_25,True,15.0,1
11,user_10057,0.0,16.0,1.0,0.0,0.0,3,tariff_25,True,17.0,1
12,user_10060,0.0,32.0,6.0,1.0,0.0,3,tariff_15,False,39.0,0
13,user_10061,0.0,72.0,48.0,5.0,0.0,4,tariff_15,False,125.0,1
14,user_10062,0.0,9.0,0.0,0.0,0.0,4,tariff_7,True,9.0,1
15,user_10065,0.0,1.0,1.0,0.0,0.0,1,tariff_4,True,2.0,0
16,user_10070,0.0,2.0,0.0,0.0,0.0,2,tariff_25,True,2.0,1
17,user_10071,0.0,117.0,32.0,6.0,0.0,4,tariff_15,False,155.0,1
18,user_10077,0.0,13.0,7.0,0.0,0.0,3,tariff_26,False,20.0,1
19,user_10078,0.0,52.0,39.0,17.0,0.0,4,tariff_1,False,108.0,1
20,user_10080,0.0,2.0,1.0,0.0,0.0,1,tariff_25,False,3.0,1
21,user_10083,0.0,3.0,2.0,0.0,0.0,4,tariff_11,True,5.0,0
22,user_10084,0.0,1.0,1.0,0.0,0.0,1,tariff_15,False,2.0,0
23,user_10087,0.0,10.0,7.0,0.0,0.0,3,tariff_25,False,17.0,1
24,user_10090,0.0,2.0,1.0,0.0,0.0,2,tariff_14,False,3.0,1
25,user_10094,0.0,65.0,58.0,28.0,0.0,4,tariff_15,False,151.0,1
